#time,accel_x,accel_y,accel_z
2042.243201,689.485948,222.061783,9474.636058
2042.243519,689.485948,-0.000000,9400.615463
2042.243836,842.705048,-0.000000,9622.677246
2042.244154,1302.362347,-74.020594,9548.656652
2042.244471,995.924147,222.061783,9622.677246
2042.244789,766.095498,148.041188,9474.636058
2042.245106,995.924147,-0.000000,9474.636058
2042.245423,842.705048,-0.000000,9474.636058
2042.245741,536.266849,-0.000000,9474.636058
2042.246058,612.876398,296.082377,9474.636058
2042.246376,766.095498,148.041188,9474.636058
2042.246693,766.095498,148.041188,9548.656652
2042.247011,919.314598,-0.000000,9474.636058
2042.247328,842.705048,-0.000000,9474.636058
2042.247645,1149.143247,-0.000000,9252.574275
2042.247963,995.924147,148.041188,9474.636058
2042.248280,766.095498,74.020594,9474.636058
2042.248598,919.314598,-0.000000,9474.636058
2042.248915,919.314598,-0.000000,9400.615463
2042.249233,689.485948,-0.000000,9474.636058
2042.249550,842.705048,-0.000000,9474.636058
2042.249867,842.705048,-0.000000,9474.636058
2042.250185,1072.533697,-0.000000,9474.636058
2042.250502,919.314598,-0.000000,9326.594869
2042.250820,536.266849,-0.000000,9548.656652
2042.251137,842.705048,-74.020594,9400.615463
2042.251455,842.705048,148.041188,9326.594869
2042.251772,842.705048,-74.020594,9104.533087
2042.252089,536.266849,-0.000000,9326.594869
2042.252407,919.314598,-148.041188,9326.594869
2042.252724,612.876398,-0.000000,9178.553681
2042.253042,1149.143247,-370.102971,9252.574275
2042.253359,1455.581446,-0.000000,9474.636058
2042.253677,842.705048,148.041188,9474.636058
2042.253994,612.876398,-0.000000,9178.553681
2042.254311,842.705048,-0.000000,9326.594869
2042.254629,919.314598,-0.000000,9400.615463
2042.254946,842.705048,-0.000000,9474.636058
2042.255264,766.095498,-222.061783,9252.574275
2042.255581,766.095498,-0.000000,9326.594869
2042.255899,766.095498,-74.020594,9400.615463
2042.256216,1149.143247,-296.082377,9030.512492
2042.256533,536.266849,-296.082377,9252.574275
2042.256851,842.705048,-222.061783,9252.574275
2042.257168,689.485948,-74.020594,9178.553681
2042.257486,919.314598,-222.061783,9326.594869
2042.257803,229.828649,-0.000000,9326.594869
2042.258121,766.095498,-74.020594,9474.636058
2042.258438,919.314598,-74.020594,9326.594869
2042.258755,919.314598,-0.000000,9400.615463
2042.259073,689.485948,-0.000000,9400.615463
2042.259390,766.095498,-0.000000,9474.636058
2042.259708,842.705048,-296.082377,9252.574275
2042.260025,766.095498,-148.041188,9178.553681
2042.260343,842.705048,-0.000000,9400.615463
2042.260660,842.705048,-0.000000,9326.594869
2042.260977,306.438199,-0.000000,9844.739029
2042.261295,689.485948,-0.000000,9326.594869
2042.261612,459.657299,-74.020594,9400.615463
2042.261930,919.314598,148.041188,9474.636058
2042.262247,612.876398,-74.020594,9548.656652
2042.262565,842.705048,-74.020594,9474.636058
2042.262882,689.485948,-222.061783,9326.594869
2042.263199,842.705048,222.061783,9474.636058
2042.263517,919.314598,-0.000000,9622.677246
2042.263834,1072.533697,-0.000000,9400.615463
2042.264152,842.705048,222.061783,9474.636058
2042.264469,612.876398,148.041188,9474.636058
2042.264786,459.657299,148.041188,9400.615463
2042.265104,689.485948,296.082377,9474.636058
2042.265421,995.924147,-0.000000,9474.636058
2042.265739,536.266849,148.041188,9474.636058
2042.266056,919.314598,296.082377,9474.636058
2042.266374,612.876398,296.082377,9474.636058
2042.266691,689.485948,-0.000000,9548.656652
2042.267008,536.266849,-0.000000,9548.656652
2042.267326,766.095498,-0.000000,9474.636058
2042.267643,689.485948,222.061783,9548.656652
2042.267961,766.095498,222.061783,9474.636058
2042.268278,919.314598,296.082377,9474.636058
2042.268596,842.705048,148.041188,9474.636058
2042.268913,766.095498,-0.000000,9326.594869
2042.269230,689.485948,-0.000000,9400.615463
2042.269548,919.314598,-0.000000,9548.656652
2042.269865,842.705048,222.061783,9548.656652
2042.270183,1149.143247,-0.000000,9474.636058
2042.270500,536.266849,222.061783,9770.718434
2042.270818,612.876398,-0.000000,9474.636058
2042.271135,459.657299,-0.000000,9400.615463
2042.271452,612.876398,-74.020594,9326.594869
2042.271770,689.485948,370.102971,9622.677246
2042.272087,612.876398,222.061783,9252.574275
2042.272405,919.314598,-148.041188,9474.636058
2042.272722,842.705048,-0.000000,9400.615463
2042.273040,306.438199,148.041188,9548.656652
2042.273357,766.095498,-0.000000,9474.636058
2042.273674,766.095498,-0.000000,9326.594869
2042.273992,689.485948,-0.000000,9400.615463
2042.274309,689.485948,148.041188,9474.636058
2042.274627,689.485948,-0.000000,9548.656652
2042.274944,306.438199,-0.000000,9326.594869
2042.275262,842.705048,148.041188,9548.656652
2042.275579,766.095498,-0.000000,9326.594869
2042.275896,689.485948,-0.000000,9474.636058
2042.276214,536.266849,-0.000000,9252.574275
2042.276531,842.705048,148.041188,9326.594869
2042.276849,766.095498,-0.000000,9474.636058
2042.277166,612.876398,-0.000000,9326.594869
2042.277484,612.876398,-222.061783,9474.636058
2042.277801,689.485948,-0.000000,9400.615463
2042.278118,536.266849,-0.000000,9474.636058
2042.278436,459.657299,-0.000000,9400.615463
2042.278753,689.485948,148.041188,9400.615463
2042.279071,612.876398,296.082377,9474.636058
2042.279388,689.485948,222.061783,9400.615463
2042.279706,689.485948,148.041188,9474.636058
2042.280023,842.705048,148.041188,9474.636058
2042.280340,612.876398,-0.000000,9326.594869
2042.280658,689.485948,-0.000000,9400.615463
2042.280975,612.876398,-0.000000,9326.594869
2042.281293,612.876398,-0.000000,9548.656652
2042.281610,612.876398,-0.000000,9326.594869
2042.281928,536.266849,296.082377,9474.636058
2042.282245,612.876398,370.102971,9326.594869
2042.282562,383.047749,296.082377,9474.636058
2042.282880,612.876398,814.226536,9622.677246
2042.283197,536.266849,666.185348,9400.615463
2042.283515,1455.581446,814.226536,9474.636058
2042.283832,536.266849,740.205942,9548.656652
2042.284150,536.266849,370.102971,9696.697840
2042.284467,459.657299,444.123565,9696.697840
2042.284784,536.266849,666.185348,9770.718434
2042.285102,383.047749,814.226536,9548.656652
2042.285419,383.047749,1184.329507,9696.697840
2042.285737,153.219100,1554.432478,9474.636058
2042.286054,-306.438199,1480.411884,9326.594869
2042.286372,-536.266849,1702.473667,9252.574275
2042.286689,-766.095498,1184.329507,9474.636058
2042.287006,-1378.971896,1036.288319,9696.697840
2042.287324,-1838.629195,1110.308913,10066.800811
2042.287641,-2451.505594,1036.288319,9474.636058
2042.287959,-2911.162892,1036.288319,10214.842000
2042.288276,-2757.943793,1332.370696,10955.047942
2042.288594,-3064.381992,1332.370696,9992.780217
2042.288911,-3217.601092,1998.556043,9992.780217
2042.289228,-3217.601092,2072.576638,9770.718434
2042.289546,-3217.601092,2146.597232,9844.739029
2042.289863,-2911.162892,2368.659014,9548.656652
2042.290181,-3294.210641,2442.679609,9178.553681
2042.290498,-3600.648841,2368.659014,9104.533087
2042.290816,-4060.306139,2294.638420,9178.553681
2042.291133,-4366.744339,2590.720797,8956.491898
2042.291450,-3983.696590,2590.720797,9252.574275
2042.291768,-4290.134789,2812.782580,9104.533087
2042.292085,-4826.401637,3034.844362,8808.450710
2042.292403,-4826.401637,3552.988522,8660.409521
2042.292720,-4673.182538,3923.091493,8364.327145
2042.293038,-4673.182538,4441.235652,8068.244768
2042.293355,-4596.572988,4811.338623,7772.162391
2042.293672,-4749.792088,5181.441594,7698.141797
2042.293990,-4673.182538,5033.400406,7920.203579
2042.294307,-4213.525239,5033.400406,8142.265362
2042.294625,-3830.477490,5699.585753,8216.285956
2042.294942,-3830.477490,6291.750507,8068.244768
2042.295260,-3524.039291,6809.894666,7402.059420
2042.295577,-3217.601092,7031.956449,7328.038826
2042.295894,-2221.676944,7179.997637,7179.997637
2042.296212,-2451.505594,7550.100608,6957.935855
2042.296529,-2068.457845,7550.100608,7031.956449
2042.296847,-1762.019645,7179.997637,7624.121203
2042.297164,-1762.019645,7254.018232,8216.285956
2042.297482,-1991.848295,6735.874072,8956.491898
2042.297799,-2221.676944,6143.709319,9326.594869
2042.298116,-2374.896044,6069.688724,9400.615463
2042.298434,-2298.286494,6143.709319,8882.471304
2042.298751,-1838.629195,6365.771101,8660.409521
2042.299069,-1225.752797,5625.565159,9030.512492
2042.299386,-536.266849,5625.565159,9474.636058
2042.299704,-1225.752797,4737.318029,9400.615463
2042.300021,-2451.505594,3849.070898,9844.739029
2042.300338,-3140.991542,2738.761985,11473.192101
2042.300656,-3294.210641,1924.535449,12805.562797
2042.300973,-3677.258390,1628.453072,12657.521608
2042.301291,-3217.601092,2220.617826,12953.603985
2042.301608,-2681.334243,2146.597232,12805.562797
2042.301926,-1762.019645,2516.700203,12879.583391
2042.302243,-766.095498,2072.576638,12509.480420
2042.302560,-1455.581446,1480.411884,11547.212695
2042.302878,-1608.800546,1184.329507,11843.295072
2042.303195,-1532.190996,-0.000000,13175.665768
2042.303513,-919.314598,-296.082377,13545.768739
2042.303830,-842.705048,-0.000000,12731.542202
2042.304148,-689.485948,814.226536,12509.480420
2042.304465,-306.438199,296.082377,13101.645173
2042.304782,383.047749,-74.020594,12805.562797
2042.305100,689.485948,-74.020594,12065.356855
2042.305417,1608.800546,740.205942,10362.883188
2042.305735,1838.629195,370.102971,10732.986159
2042.306052,2221.676944,666.185348,9474.636058
2042.306370,2451.505594,222.061783,9696.697840
2042.306687,2528.115143,444.123565,10288.862594
2042.307004,995.924147,740.205942,9844.739029
2042.307322,1072.533697,370.102971,10584.944971
2042.307639,459.657299,296.082377,10732.986159
2042.307957,612.876398,296.082377,10288.862594
2042.308274,229.828649,222.061783,9252.574275
2042.308592,229.828649,1184.329507,8438.347739
2042.308909,1225.752797,666.185348,7994.224174
2042.309226,919.314598,1998.556043,5625.565159
2042.309544,842.705048,2368.659014,6217.729913
2042.309861,153.219100,2368.659014,5699.585753
2042.310179,-1378.971896,1850.514855,5847.626942
2042.310496,-2757.943793,1554.432478,5921.647536
2042.310814,-3830.477490,-518.144159,8586.388927
2042.311131,-4673.182538,-0.000000,8734.430116
2042.311448,-4366.744339,-444.123565,8734.430116
2042.311766,-3983.696590,296.082377,6957.935855
2042.312083,-3753.867940,518.144159,6735.874072
2042.312401,-3064.381992,888.247130,7179.997637
2042.312718,-2145.067394,1776.494261,7031.956449
2042.313036,-1838.629195,2664.741391,5847.626942
2042.313353,-2145.067394,3552.988522,5107.421000
2042.313670,-1915.238745,5403.503377,5033.400406
2042.313988,-1762.019645,5181.441594,6439.791695
2042.314305,-1915.238745,3997.112087,6735.874072
2042.314623,-2834.553343,2812.782580,6661.853478
2042.314940,-3753.867940,2516.700203,6957.935855
2042.315258,-3447.429741,888.247130,9622.677246
2042.315575,-2221.676944,1036.288319,9030.512492
2042.315892,-1991.848295,1036.288319,8660.409521
2042.316210,-2145.067394,3256.906145,6809.894666
2042.316527,-2528.115143,3775.050304,7254.018232
2042.316845,-2451.505594,3701.029710,8438.347739
2042.317162,-2911.162892,2886.803174,9030.512492
2042.317480,-4979.620737,3256.906145,8660.409521
2042.317797,-5745.716235,3182.885551,11029.068536
2042.318114,-5439.278036,2886.803174,11177.109724
2042.318432,-4903.011187,2442.679609,11325.150913
2042.318749,-3370.820191,2886.803174,12139.377449
2042.319066,-2604.724693,3775.050304,12139.377449
2042.319383,-1608.800546,4145.153275,11251.130318
