#time,accel_x,accel_y,accel_z
1376.760749,612.876398,1554.432478,10510.924376
1376.761067,0.000000,296.082377,11325.150913
1376.761386,-306.438199,-1110.308913,11103.089130
1376.761705,-842.705048,-888.247130,10436.903782
1376.762023,-2145.067394,-1332.370696,11103.089130
1376.762342,-2451.505594,-1850.514855,11695.253884
1376.762661,-2451.505594,-1924.535449,11177.109724
1376.762980,-2451.505594,-1036.288319,10288.862594
1376.763298,-2528.115143,-666.185348,10066.800811
1376.763617,-2911.162892,-1184.329507,9844.739029
1376.763936,-3753.867940,-1480.411884,9696.697840
1376.764255,-4366.744339,-1924.535449,9474.636058
1376.764573,-4596.572988,-2442.679609,8808.450710
1376.764892,-3830.477490,-2812.782580,7550.100608
1376.765211,-3600.648841,-1184.329507,7179.997637
1376.765529,-2298.286494,-1258.350101,6735.874072
1376.765848,-2068.457845,-1406.391290,6957.935855
1376.766167,-1072.533697,-1258.350101,5995.668130
1376.766486,-766.095498,-962.267725,5625.565159
1376.766804,-153.219100,-370.102971,6291.750507
1376.767123,995.924147,-888.247130,6513.812290
1376.767442,1378.971896,-1036.288319,5847.626942
1376.767760,2221.676944,-0.000000,6217.729913
1376.768079,2145.067394,-148.041188,6365.771101
1376.768398,2528.115143,-1258.350101,6291.750507
1376.768717,2604.724693,-222.061783,6809.894666
1376.769035,3064.381992,-740.205942,6513.812290
1376.769354,3140.991542,-666.185348,6661.853478
1376.769673,3447.429741,-370.102971,6735.874072
1376.769992,3447.429741,-592.164754,6809.894666
1376.770310,3524.039291,-222.061783,6883.915261
1376.770629,2604.724693,-814.226536,7624.121203
1376.770948,2374.896044,-1110.308913,7920.203579
1376.771266,1149.143247,-1184.329507,8586.388927
1376.771585,766.095498,-1110.308913,8956.491898
1376.771904,-536.266849,-1110.308913,9326.594869
1376.772223,-766.095498,-444.123565,9770.718434
1376.772541,-1532.190996,-0.000000,10436.903782
1376.772860,-1685.410096,666.185348,10732.986159
1376.773179,-2221.676944,666.185348,11103.089130
1376.773497,-2528.115143,1036.288319,11251.130318
1376.773816,-2681.334243,1406.391290,11177.109724
1376.774135,-2528.115143,1332.370696,11399.171507
1376.774454,-2451.505594,1480.411884,10510.924376
1376.774772,-2068.457845,2220.617826,11029.068536
1376.775091,-1991.848295,2146.597232,11177.109724
1376.775410,-536.266849,2738.761985,10436.903782
1376.775729,-995.924147,3404.947333,10362.883188
1376.776047,0.000000,3478.967927,10732.986159
1376.776366,-459.657299,3997.112087,9844.739029
1376.776685,-459.657299,4811.338623,9400.615463
1376.777003,-612.876398,4441.235652,9696.697840
1376.777322,-919.314598,5107.421000,9326.594869
1376.777641,-766.095498,5329.482782,8882.471304
1376.777960,-1149.143247,5625.565159,8956.491898
1376.778278,-1608.800546,5255.462188,8956.491898
1376.778597,-1608.800546,5403.503377,9178.553681
1376.778916,-2298.286494,4959.379811,9326.594869
1376.779234,-2987.772442,5033.400406,9622.677246
1376.779553,-3524.039291,5329.482782,10288.862594
1376.779872,-3524.039291,5477.523971,10214.842000
1376.780191,-3140.991542,5551.544565,10214.842000
1376.780509,-3447.429741,5107.421000,10584.944971
1376.780828,-2528.115143,5551.544565,10658.965565
1376.781147,-2528.115143,4811.338623,10288.862594
1376.781466,-2451.505594,4589.276840,10510.924376
1376.781784,-2681.334243,3923.091493,10214.842000
1376.782103,-2757.943793,3478.967927,10436.903782
1376.782422,-2681.334243,3775.050304,9770.718434
1376.782740,-2757.943793,3849.070898,9548.656652
1376.783059,-2451.505594,4219.173869,9548.656652
1376.783378,-2604.724693,4589.276840,9474.636058
1376.783697,-2451.505594,4219.173869,9548.656652
1376.784015,-2834.553343,3552.988522,9696.697840
1376.784334,-3140.991542,2960.823768,10288.862594
1376.784653,-3140.991542,2590.720797,10288.862594
1376.784971,-3217.601092,2886.803174,10066.800811
1376.785290,-2757.943793,3330.926739,9770.718434
1376.785609,-2604.724693,3775.050304,9548.656652
1376.785928,-2451.505594,3849.070898,9178.553681
1376.786246,-1608.800546,3552.988522,9400.615463
1376.786565,-1149.143247,3034.844362,9474.636058
1376.786884,-995.924147,2368.659014,9844.739029
