#time,accel_x,accel_y,accel_z
1027.010494,612.876398,518.144159,9178.553681
1027.010813,536.266849,222.061783,9400.615463
1027.011132,766.095498,592.164754,9178.553681
1027.011451,536.266849,296.082377,9104.533087
1027.011770,459.657299,148.041188,8956.491898
1027.012089,536.266849,296.082377,9252.574275
1027.012407,383.047749,370.102971,9178.553681
1027.012726,536.266849,370.102971,9178.553681
1027.013045,229.828649,444.123565,9326.594869
1027.013364,229.828649,370.102971,9252.574275
1027.013683,689.485948,518.144159,9252.574275
1027.014002,306.438199,222.061783,9400.615463
1027.014320,229.828649,222.061783,9326.594869
1027.014639,689.485948,-0.000000,9326.594869
1027.014958,153.219100,370.102971,9252.574275
1027.015277,383.047749,370.102971,9400.615463
1027.015596,383.047749,296.082377,9252.574275
1027.015915,612.876398,370.102971,9326.594869
1027.016233,383.047749,222.061783,9474.636058
1027.016552,766.095498,296.082377,9252.574275
1027.016871,383.047749,296.082377,9400.615463
1027.017190,536.266849,518.144159,9252.574275
1027.017509,842.705048,444.123565,9252.574275
1027.017828,536.266849,740.205942,9400.615463
1027.018146,306.438199,222.061783,9252.574275
1027.018465,459.657299,444.123565,9326.594869
1027.018784,459.657299,296.082377,9178.553681
1027.019103,459.657299,148.041188,9178.553681
1027.019422,229.828649,296.082377,9400.615463
1027.019741,383.047749,370.102971,9400.615463
1027.020059,459.657299,296.082377,9252.574275
1027.020378,459.657299,-0.000000,9400.615463
1027.020697,689.485948,222.061783,9178.553681
1027.021016,459.657299,444.123565,9104.533087
1027.021335,229.828649,444.123565,9474.636058
1027.021654,306.438199,370.102971,9326.594869
1027.021973,383.047749,-0.000000,9178.553681
1027.022291,459.657299,444.123565,9474.636058
1027.022610,306.438199,518.144159,9252.574275
1027.022929,459.657299,444.123565,9326.594869
1027.023248,306.438199,444.123565,9474.636058
1027.023567,459.657299,222.061783,9326.594869
1027.023886,536.266849,592.164754,9104.533087
1027.024204,459.657299,222.061783,9474.636058
1027.024523,459.657299,296.082377,9326.594869
1027.024842,306.438199,296.082377,9326.594869
1027.025161,459.657299,222.061783,9104.533087
1027.025480,612.876398,222.061783,9326.594869
1027.025799,459.657299,296.082377,9326.594869
1027.026117,459.657299,370.102971,9326.594869
1027.026436,995.924147,444.123565,9252.574275
1027.026755,612.876398,-0.000000,9400.615463
1027.027074,689.485948,370.102971,8956.491898
1027.027393,383.047749,444.123565,9326.594869
1027.027712,459.657299,222.061783,9252.574275
1027.028030,153.219100,444.123565,9474.636058
1027.028349,383.047749,444.123565,9252.574275
1027.028668,459.657299,518.144159,9400.615463
1027.028987,306.438199,444.123565,9252.574275
1027.029306,612.876398,296.082377,9030.512492
1027.029625,689.485948,296.082377,9326.594869
1027.029943,612.876398,518.144159,9178.553681
1027.030262,153.219100,222.061783,9400.615463
1027.030581,383.047749,222.061783,9326.594869
1027.030900,229.828649,296.082377,9252.574275
1027.031219,612.876398,-148.041188,8734.430116
1027.031538,306.438199,222.061783,8882.471304
1027.031856,153.219100,-0.000000,9030.512492
1027.032175,229.828649,-222.061783,9252.574275
1027.032494,-153.219100,-296.082377,9178.553681
1027.032813,153.219100,-1036.288319,9104.533087
1027.033132,0.000000,-370.102971,8956.491898
1027.033451,0.000000,-814.226536,8956.491898
1027.033769,-383.047749,-666.185348,8882.471304
1027.034088,-306.438199,-814.226536,8808.450710
1027.034407,-459.657299,-740.205942,8512.368333
1027.034726,-919.314598,-962.267725,8216.285956
1027.035045,-1149.143247,-1184.329507,8512.368333
1027.035364,-1608.800546,-1480.411884,8808.450710
1027.035682,-1685.410096,-1406.391290,9104.533087
1027.036001,-1608.800546,-1332.370696,8734.430116
1027.036320,-1991.848295,-1332.370696,8808.450710
1027.036639,-2068.457845,-1110.308913,8290.306550
1027.036958,-1762.019645,-1036.288319,7994.224174
1027.037277,-2068.457845,-1332.370696,7402.059420
1027.037596,-2298.286494,-1554.432478,7624.121203
1027.037914,-2298.286494,-1850.514855,8142.265362
1027.038233,-2374.896044,-2220.617826,8734.430116
1027.038552,-2451.505594,-2516.700203,8956.491898
1027.038871,-2528.115143,-2442.679609,8882.471304
1027.039190,-2451.505594,-2220.617826,9252.574275
1027.039509,-2451.505594,-1924.535449,8956.491898
1027.039827,-2451.505594,-1924.535449,8438.347739
1027.040146,-2528.115143,-1924.535449,8438.347739
1027.040465,-2604.724693,-1776.494261,8438.347739
1027.040784,-3140.991542,-2368.659014,8438.347739
1027.041103,-3524.039291,-3552.988522,9178.553681
1027.041422,-3677.258390,-4293.194464,9992.780217
1027.041740,-3907.087040,-4515.256246,10584.944971
1027.042059,-3830.477490,-4589.276840,10807.006753
1027.042378,-4136.915689,-4219.173869,11843.295072
1027.042697,-3753.867940,-3552.988522,11473.192101
1027.043016,-2987.772442,-2812.782580,10881.027347
1027.043335,-2757.943793,-2146.597232,10955.047942
1027.043653,-2451.505594,-2220.617826,10436.903782
1027.043972,-2145.067394,-2220.617826,10140.821405
1027.044291,-1762.019645,-2368.659014,9844.739029
1027.044610,-2451.505594,-2664.741391,10362.883188
1027.044929,-2451.505594,-3108.864956,9474.636058
1027.045248,-2681.334243,-3552.988522,10066.800811
1027.045566,-2604.724693,-4145.153275,10436.903782
1027.045885,-3217.601092,-4367.215058,11399.171507
1027.046204,-3677.258390,-4367.215058,12139.377449
1027.046523,-4290.134789,-4293.194464,12139.377449
1027.046842,-4443.353888,-3775.050304,11843.295072
1027.047161,-4673.182538,-3404.947333,11843.295072
1027.047479,-4749.792088,-3182.885551,11695.253884
1027.047798,-4749.792088,-3108.864956,10510.924376
1027.048117,-4366.744339,-2664.741391,10362.883188
1027.048436,-3753.867940,-2960.823768,11399.171507
1027.048755,-2911.162892,-3478.967927,11547.212695
1027.049074,-1915.238745,-3108.864956,11325.150913
1027.049392,-766.095498,-1998.556043,10584.944971
1027.049711,0.000000,-444.123565,8808.450710
1027.050030,1302.362347,1184.329507,7624.121203
1027.050349,1838.629195,1924.535449,5699.585753
1027.050668,2298.286494,1702.473667,4737.318029
1027.050987,1762.019645,592.164754,5255.462188
1027.051305,1302.362347,-1036.288319,6883.915261
1027.051624,689.485948,-2072.576638,7994.224174
1027.051943,-383.047749,-2738.761985,8586.388927
1027.052262,-995.924147,-2738.761985,9696.697840
1027.052581,-383.047749,-1554.432478,9844.739029
1027.052900,-383.047749,-222.061783,9326.594869
1027.053219,459.657299,1480.411884,8142.265362
1027.053537,1072.533697,1480.411884,7846.182985
1027.053856,1225.752797,2146.597232,7105.977043
1027.054175,1455.581446,1924.535449,6291.750507
1027.054494,766.095498,1554.432478,5329.482782
1027.054813,383.047749,296.082377,5699.585753
1027.055132,0.000000,-444.123565,5403.503377
1027.055450,-1225.752797,-1702.473667,6439.791695
1027.055769,-1762.019645,-2294.638420,8512.368333
1027.056088,-2911.162892,-2812.782580,9918.759623
1027.056407,-3753.867940,-2368.659014,10807.006753
1027.056726,-3753.867940,-1924.535449,11103.089130
1027.057045,-4060.306139,-962.267725,10732.986159
1027.057363,-4290.134789,-666.185348,10510.924376
1027.057682,-4366.744339,-888.247130,9992.780217
1027.058001,-3677.258390,-1110.308913,9474.636058
1027.058320,-3830.477490,-1184.329507,8956.491898
1027.058639,-3294.210641,-1258.350101,8956.491898
1027.058958,-3064.381992,-2368.659014,9030.512492
1027.059276,-3140.991542,-2738.761985,8882.471304
1027.059595,-1991.848295,-3256.906145,9918.759623
1027.059914,-2145.067394,-2590.720797,10362.883188
1027.060233,-1762.019645,-2220.617826,10288.862594
1027.060552,-1991.848295,-1480.411884,9992.780217
1027.060871,-2528.115143,-1184.329507,10807.006753
1027.061189,-2757.943793,-1850.514855,10362.883188
1027.061508,-3217.601092,-1998.556043,9844.739029
1027.061827,-4366.744339,-3108.864956,10140.821405
1027.062146,-4136.915689,-3849.070898,11103.089130
1027.062465,-4136.915689,-5181.441594,12435.459826
1027.062784,-3524.039291,-5995.668130,14063.912898
1027.063102,-2451.505594,-5255.462188,13693.809927
1027.063421,-1149.143247,-3997.112087,12879.583391
1027.063740,612.876398,-2516.700203,11991.336260
1027.064059,1762.019645,-1332.370696,10214.842000
1027.064378,2911.162892,222.061783,7846.182985
1027.064697,3677.258390,1628.453072,5551.544565
1027.065015,3294.210641,-0.000000,5625.565159
1027.065334,3140.991542,-1702.473667,6883.915261
1027.065653,2068.457845,-2590.720797,8290.306550
1027.065972,1838.629195,-3552.988522,9326.594869
1027.066291,842.705048,-3997.112087,10732.986159
1027.066610,229.828649,-3849.070898,11843.295072
1027.066928,-766.095498,-3034.844362,11917.315666
1027.067247,153.219100,-666.185348,11251.130318
1027.067566,153.219100,296.082377,9918.759623
1027.067885,995.924147,1036.288319,8808.450710
1027.068204,1685.410096,1406.391290,8364.327145
1027.068523,2374.896044,1480.411884,6809.894666
1027.068842,2145.067394,1184.329507,6513.812290
1027.069160,2374.896044,740.205942,6735.874072
1027.069479,2451.505594,888.247130,6809.894666
1027.069798,2911.162892,2220.617826,5921.647536
1027.070117,2757.943793,2664.741391,5477.523971
1027.070436,1991.848295,2516.700203,5921.647536
1027.070755,1608.800546,1702.473667,7105.977043
1027.071073,1378.971896,1480.411884,7105.977043
