#time,accel_x,accel_y,accel_z
1329.173919,2145.067394,1850.514855,9030.512492
1329.174237,1302.362347,518.144159,10584.944971
1329.174556,459.657299,-888.247130,11029.068536
1329.174875,-536.266849,-1406.391290,10807.006753
1329.175194,-1532.190996,-1406.391290,11991.336260
1329.175512,-2068.457845,-1628.453072,12805.562797
1329.175831,-2374.896044,-592.164754,11991.336260
1329.176150,-2374.896044,-0.000000,10510.924376
1329.176469,-2374.896044,592.164754,9918.759623
1329.176787,-2374.896044,-222.061783,9696.697840
1329.177106,-2681.334243,-1036.288319,9178.553681
1329.177425,-3677.258390,-2146.597232,9178.553681
1329.177743,-3830.477490,-2368.659014,8882.471304
1329.178062,-4290.134789,-1850.514855,8512.368333
1329.178381,-3907.087040,-3034.844362,8586.388927
1329.178700,-4519.963438,-1702.473667,8216.285956
1329.179018,-2757.943793,-888.247130,8290.306550
1329.179337,-2681.334243,-444.123565,7105.977043
1329.179656,-2145.067394,-222.061783,6957.935855
1329.179974,-1991.848295,222.061783,6957.935855
1329.180293,-766.095498,-296.082377,7031.956449
1329.180612,-383.047749,-0.000000,6513.812290
1329.180931,153.219100,-0.000000,5847.626942
1329.181249,383.047749,222.061783,6143.709319
1329.181568,1149.143247,296.082377,6365.771101
1329.181887,1302.362347,518.144159,6365.771101
1329.182206,1762.019645,814.226536,6217.729913
1329.182524,2068.457845,1628.453072,6069.688724
1329.182843,2451.505594,1628.453072,6365.771101
1329.183162,2451.505594,518.144159,6883.915261
1329.183480,2145.067394,148.041188,7105.977043
1329.183799,1302.362347,-666.185348,7772.162391
1329.184118,229.828649,-888.247130,8438.347739
1329.184437,-306.438199,-222.061783,7994.224174
1329.184755,-766.095498,-148.041188,8290.306550
1329.185074,-2374.896044,740.205942,8512.368333
1329.185393,-2221.676944,1998.556043,9104.533087
1329.185712,-2681.334243,2368.659014,8290.306550
1329.186030,-3753.867940,2664.741391,9252.574275
1329.186349,-4213.525239,2516.700203,10510.924376
1329.186668,-4903.011187,2368.659014,9918.759623
1329.186986,-5132.839837,2442.679609,9918.759623
1329.187305,-5362.668486,2368.659014,10732.986159
1329.187624,-5669.106685,2516.700203,10881.027347
1329.187943,-4903.011187,3108.864956,10807.006753
1329.188261,-5056.230287,4071.132681,10658.965565
1329.188580,-4826.401637,4737.318029,10732.986159
1329.188899,-4366.744339,5255.462188,10510.924376
1329.189218,-4290.134789,5625.565159,10881.027347
1329.189536,-4213.525239,6069.688724,10436.903782
1329.189855,-4519.963438,5551.544565,10436.903782
1329.190174,-4519.963438,5847.626942,10436.903782
1329.190492,-3830.477490,5921.647536,10362.883188
1329.190811,-2834.553343,6291.750507,10510.924376
1329.191130,-2834.553343,6069.688724,9992.780217
1329.191449,-2145.067394,6217.729913,9844.739029
1329.191767,-1608.800546,6439.791695,9992.780217
1329.192086,-689.485948,6365.771101,10881.027347
1329.192405,0.000000,6291.750507,11547.212695
1329.192724,766.095498,6143.709319,11547.212695
1329.193042,1762.019645,6143.709319,11399.171507
1329.193361,2604.724693,5847.626942,10658.965565
1329.193680,3677.258390,5551.544565,9622.677246
1329.193998,4213.525239,4811.338623,8882.471304
1329.194317,4443.353888,4663.297435,8068.244768
1329.194636,3907.087040,4959.379811,7254.018232
1329.194955,2451.505594,4589.276840,6217.729913
1329.195273,153.219100,4293.194464,6809.894666
1329.195592,-2374.896044,3256.906145,7476.080014
1329.195911,-4903.011187,2368.659014,8882.471304
1329.196230,-6894.859482,1850.514855,9548.656652
1329.196548,-9039.926876,2368.659014,10732.986159
1329.196867,-9269.755526,1998.556043,11917.315666
1329.197186,-10035.851024,2072.576638,11917.315666
1329.197504,-9499.584175,1628.453072,12139.377449
1329.197823,-8810.098227,1702.473667,11473.192101
1329.198142,-7354.516781,3182.885551,10807.006753
1329.198461,-4903.011187,3997.112087,10066.800811
1329.198779,-2987.772442,4959.379811,8364.327145
1329.199098,-1225.752797,5403.503377,7179.997637
1329.199417,153.219100,5551.544565,6365.771101
1329.199736,1915.238745,5403.503377,5403.503377
1329.200054,2987.772442,4885.359217,5033.400406
1329.200373,3677.258390,4589.276840,5403.503377
1329.200692,4673.182538,3775.050304,5847.626942
1329.201010,4290.134789,2368.659014,6513.812290
1329.201329,4443.353888,1110.308913,7179.997637
1329.201648,4213.525239,-0.000000,8290.306550
1329.201967,3370.820191,-740.205942,9178.553681
1329.202285,3294.210641,-1406.391290,10214.842000
1329.202604,2987.772442,-1998.556043,11473.192101
1329.202923,2987.772442,-2220.617826,11547.212695
1329.203242,3370.820191,-2294.638420,10955.047942
1329.203560,3140.991542,-2294.638420,9770.718434
1329.203879,2987.772442,-2738.761985,9844.739029
1329.204198,2987.772442,-3627.009116,10436.903782
1329.204516,3140.991542,-4367.215058,10732.986159
1329.204835,2911.162892,-4663.297435,11177.109724
1329.205154,3217.601092,-4441.235652,11399.171507
1329.205473,3217.601092,-4737.318029,12139.377449
1329.205791,2068.457845,-6957.935855,12435.459826
1329.206110,766.095498,-7402.059420,12953.603985
1329.206429,306.438199,-6883.915261,12139.377449
1329.206747,689.485948,-5847.626942,11251.130318
1329.207066,1378.971896,-3849.070898,10214.842000
1329.207385,1762.019645,-3849.070898,9474.636058
1329.207704,1378.971896,-3923.091493,8142.265362
1329.208022,459.657299,-3997.112087,7994.224174
1329.208341,-612.876398,-4441.235652,7550.100608
1329.208660,-1915.238745,-3775.050304,8068.244768
1329.208978,-2298.286494,-2072.576638,8364.327145
1329.209297,-2068.457845,-888.247130,8586.388927
1329.209616,-1838.629195,444.123565,7772.162391
1329.209934,-1378.971896,1406.391290,7550.100608
1329.210253,-842.705048,2072.576638,7624.121203
1329.210572,-919.314598,2738.761985,6957.935855
1329.210891,-1378.971896,2960.823768,6957.935855
1329.211209,-1838.629195,3108.864956,7624.121203
1329.211528,-2757.943793,2886.803174,7772.162391
1329.211847,-1915.238745,3182.885551,7476.080014
1329.212165,-919.314598,4663.297435,6587.832884
1329.212484,459.657299,5847.626942,6069.688724
1329.212803,1455.581446,6365.771101,5181.441594
1329.213121,1608.800546,5995.668130,5033.400406
1329.213440,1225.752797,4441.235652,5995.668130
1329.213759,306.438199,3552.988522,6439.791695
1329.214078,-229.828649,3404.947333,7624.121203
1329.214396,-306.438199,2738.761985,8438.347739
1329.214715,-536.266849,3775.050304,7920.203579
1329.215034,-153.219100,3552.988522,8660.409521
1329.215352,-383.047749,4737.318029,9104.533087
1329.215671,-612.876398,3923.091493,9696.697840
1329.215990,-1455.581446,3775.050304,10955.047942
1329.216308,-1302.362347,3478.967927,12731.542202
1329.216627,-1072.533697,3404.947333,11843.295072
1329.216946,76.609550,4293.194464,10362.883188
1329.217265,459.657299,4145.153275,11325.150913
1329.217583,1991.848295,3478.967927,11695.253884
1329.217902,1685.410096,2516.700203,11251.130318
1329.218221,1838.629195,2886.803174,11473.192101
1329.218539,1532.190996,2590.720797,11325.150913
1329.218858,1378.971896,2960.823768,10732.986159
1329.219177,919.314598,3701.029710,10955.047942
1329.219495,536.266849,3256.906145,10881.027347
1329.219814,229.828649,3404.947333,10510.924376
1329.220133,-459.657299,2442.679609,11325.150913
1329.220451,-842.705048,1480.411884,12287.418637
1329.220770,-1608.800546,1110.308913,12583.501014
1329.221089,-2068.457845,148.041188,12805.562797
1329.221408,-1838.629195,296.082377,13397.727550
1329.221726,-229.828649,740.205942,12583.501014
1329.222045,995.924147,1850.514855,11621.233289
1329.222364,2145.067394,2516.700203,10510.924376
1329.222682,2528.115143,2368.659014,9622.677246
1329.223001,2987.772442,1924.535449,8808.450710
1329.223320,3064.381992,1184.329507,8438.347739
1329.223638,2834.553343,-0.000000,8512.368333
1329.223957,2374.896044,-666.185348,8808.450710
1329.224276,1685.410096,-1332.370696,9178.553681
1329.224595,612.876398,-2886.803174,9622.677246
1329.224913,-153.219100,-4441.235652,10066.800811
1329.225232,0.000000,-2886.803174,10584.944971
1329.225551,-306.438199,-3478.967927,10658.965565
1329.225869,-229.828649,-4219.173869,10881.027347
1329.226188,-612.876398,-4737.318029,10584.944971
1329.226507,-229.828649,-4515.256246,10436.903782
1329.226825,76.609550,-3775.050304,9548.656652
1329.227144,383.047749,-4589.276840,8364.327145
1329.227463,1455.581446,-4219.173869,8142.265362
1329.227782,1838.629195,-3552.988522,7476.080014
1329.228100,1915.238745,-2960.823768,7031.956449
1329.228419,1991.848295,-2294.638420,6143.709319
1329.228738,1685.410096,-1480.411884,5921.647536
1329.229056,1302.362347,-1406.391290,6069.688724
1329.229375,766.095498,-1776.494261,6291.750507
1329.229694,-153.219100,-1998.556043,6513.812290
1329.230012,-1225.752797,-2146.597232,6661.853478
1329.230331,-1685.410096,-2072.576638,7846.182985
1329.230650,-1685.410096,-2368.659014,7846.182985
1329.230969,-1762.019645,-1924.535449,7624.121203
1329.231287,-995.924147,-666.185348,7105.977043
1329.231606,0.000000,-0.000000,6735.874072
1329.231925,612.876398,814.226536,5847.626942
1329.232243,689.485948,1554.432478,4885.359217
1329.232562,1378.971896,2442.679609,5329.482782
1329.232881,1455.581446,2590.720797,4663.297435
1329.233199,1455.581446,2294.638420,4663.297435
1329.233518,1608.800546,2146.597232,5033.400406
1329.233837,1762.019645,1554.432478,6143.709319
1329.234156,612.876398,814.226536,6883.915261
1329.234474,76.609550,370.102971,7772.162391
1329.234793,-689.485948,222.061783,9400.615463
1329.235112,-1149.143247,-0.000000,10362.883188
1329.235430,-1762.019645,-74.020594,11251.130318
1329.235749,-1072.533697,296.082377,11325.150913
1329.236068,-459.657299,1110.308913,11251.130318
1329.236386,-229.828649,666.185348,11103.089130
1329.236705,612.876398,-148.041188,11251.130318
1329.237024,383.047749,-148.041188,10881.027347
1329.237343,1149.143247,-296.082377,11399.171507
1329.237661,1072.533697,296.082377,11103.089130
1329.237980,1455.581446,518.144159,11103.089130
1329.238299,1838.629195,888.247130,11325.150913
1329.238617,1302.362347,1110.308913,11695.253884
1329.238936,919.314598,1036.288319,11769.274478
