#time,accel_x,accel_y,accel_z
1548.776580,1455.581446,-370.102971,7846.182985
1548.776897,1302.362347,370.102971,7179.997637
1548.777215,1455.581446,666.185348,6957.935855
1548.777533,1225.752797,518.144159,7254.018232
1548.777850,766.095498,-0.000000,8364.327145
1548.778168,-229.828649,-0.000000,9252.574275
1548.778485,-766.095498,-222.061783,9844.739029
1548.778803,-1302.362347,-148.041188,10140.821405
1548.779120,-1225.752797,148.041188,10288.862594
1548.779438,-842.705048,666.185348,9770.718434
1548.779755,-919.314598,962.267725,9696.697840
1548.780073,-689.485948,1332.370696,9474.636058
1548.780391,-842.705048,1554.432478,9622.677246
1548.780708,-919.314598,1332.370696,9770.718434
1548.781026,-995.924147,1258.350101,10140.821405
1548.781343,-1149.143247,592.164754,10658.965565
1548.781661,-1838.629195,-0.000000,11769.274478
1548.781978,-1608.800546,148.041188,11917.315666
1548.782296,-1149.143247,370.102971,12065.356855
1548.782613,-842.705048,1184.329507,11843.295072
1548.782931,-459.657299,1332.370696,11399.171507
1548.783249,-229.828649,1998.556043,11103.089130
1548.783566,76.609550,2072.576638,11177.109724
1548.783884,383.047749,1850.514855,11029.068536
1548.784201,306.438199,1924.535449,11103.089130
1548.784519,383.047749,1998.556043,11325.150913
1548.784836,0.000000,1628.453072,11251.130318
1548.785154,0.000000,1184.329507,11251.130318
1548.785471,0.000000,1628.453072,11695.253884
1548.785789,459.657299,962.267725,10881.027347
1548.786107,612.876398,962.267725,10140.821405
1548.786424,919.314598,888.247130,9992.780217
1548.786742,1072.533697,-74.020594,9696.697840
1548.787059,766.095498,-148.041188,9474.636058
1548.787377,459.657299,-592.164754,9326.594869
1548.787694,76.609550,-370.102971,9104.533087
1548.788012,-383.047749,-148.041188,8956.491898
1548.788329,-536.266849,-0.000000,8512.368333
1548.788647,-612.876398,296.082377,8438.347739
1548.788965,-842.705048,-0.000000,7772.162391
1548.789282,-1302.362347,-666.185348,7920.203579
1548.789600,-1685.410096,-814.226536,7920.203579
1548.789917,-1991.848295,-2516.700203,7994.224174
1548.790235,-2145.067394,-2886.803174,8290.306550
1548.790552,-2681.334243,-3552.988522,9104.533087
1548.790870,-3140.991542,-4071.132681,9548.656652
1548.791187,-3447.429741,-4219.173869,9770.718434
1548.791505,-3677.258390,-4367.215058,10214.842000
1548.791823,-3983.696590,-4071.132681,10288.862594
1548.792140,-3753.867940,-3923.091493,10214.842000
1548.792458,-3217.601092,-3775.050304,9844.739029
1548.792775,-2834.553343,-4071.132681,9474.636058
1548.793093,-2221.676944,-4293.194464,9178.553681
1548.793410,-1762.019645,-3997.112087,8068.244768
1548.793728,-1455.581446,-4367.215058,8438.347739
