#time,accel_x,accel_y,accel_z
1887.898261,995.924147,4885.359217,12953.603985
1887.898578,1225.752797,4515.256246,12805.562797
1887.898896,1915.238745,2960.823768,12583.501014
1887.899213,2145.067394,2220.617826,12435.459826
1887.899531,1762.019645,1480.411884,12953.603985
1887.899848,1072.533697,888.247130,13175.665768
1887.900165,459.657299,1184.329507,13397.727550
1887.900483,-229.828649,1850.514855,13323.706956
1887.900800,-306.438199,1998.556043,13249.686362
1887.901117,0.000000,2368.659014,12731.542202
1887.901435,0.000000,1850.514855,12139.377449
1887.901752,459.657299,814.226536,11251.130318
1887.902069,383.047749,-222.061783,10658.965565
1887.902387,1072.533697,-888.247130,10584.944971
1887.902704,995.924147,-1406.391290,10066.800811
1887.903022,536.266849,-592.164754,9548.656652
1887.903339,383.047749,-296.082377,9400.615463
1887.903656,-383.047749,222.061783,9326.594869
1887.903974,-766.095498,296.082377,9030.512492
1887.904291,-1455.581446,148.041188,9178.553681
1887.904608,-1378.971896,-0.000000,8882.471304
1887.904926,-1378.971896,-962.267725,8364.327145
1887.905243,-995.924147,-1554.432478,8586.388927
1887.905560,0.000000,-1850.514855,8216.285956
1887.905878,-306.438199,-1406.391290,7624.121203
1887.906195,0.000000,-1036.288319,6957.935855
1887.906513,0.000000,-814.226536,7476.080014
1887.906830,76.609550,-296.082377,7105.977043
1887.907147,229.828649,-370.102971,7179.997637
1887.907465,383.047749,-740.205942,6661.853478
1887.907782,459.657299,-1110.308913,6587.832884
1887.908099,689.485948,-1406.391290,6587.832884
1887.908417,1302.362347,-1776.494261,6069.688724
1887.908734,1685.410096,-2146.597232,6069.688724
1887.909052,1991.848295,-2146.597232,5995.668130
1887.909369,2145.067394,-1702.473667,5847.626942
1887.909686,1991.848295,-1406.391290,5847.626942
1887.910004,1072.533697,-1554.432478,6513.812290
1887.910321,612.876398,-1776.494261,7105.977043
1887.910638,383.047749,-1776.494261,7328.038826
1887.910956,-229.828649,-1924.535449,7624.121203
1887.911273,-383.047749,-1850.514855,7698.141797
1887.911590,-306.438199,-2220.617826,7624.121203
1887.911908,-1072.533697,-1406.391290,7402.059420
1887.912225,-1302.362347,-888.247130,7698.141797
1887.912543,-1991.848295,-592.164754,7920.203579
1887.912860,-2834.553343,-0.000000,8586.388927
1887.913177,-3907.087040,296.082377,8660.409521
1887.913495,-4366.744339,962.267725,9030.512492
1887.913812,-5209.449386,2072.576638,9030.512492
1887.914129,-5515.887586,2368.659014,9104.533087
1887.914447,-5822.325785,2664.741391,8882.471304
1887.914764,-6435.202183,3478.967927,9104.533087
1887.915081,-5822.325785,4145.153275,9474.636058
1887.915399,-6511.811733,4145.153275,9400.615463
1887.915716,-6511.811733,4663.297435,9474.636058
1887.916034,-6511.811733,4515.256246,9548.656652
1887.916351,-6205.373534,5551.544565,9622.677246
1887.916668,-6052.154434,6069.688724,10066.800811
1887.916986,-5209.449386,6439.791695,10436.903782
1887.917303,-4060.306139,6957.935855,10807.006753
1887.917620,-2834.553343,7105.977043,10288.862594
1887.917938,-2068.457845,7550.100608,10362.883188
1887.918255,-1149.143247,8068.244768,9622.677246
1887.918572,0.000000,8216.285956,9252.574275
1887.918890,612.876398,8808.450710,8290.306550
1887.919207,995.924147,8586.388927,8216.285956
1887.919525,1302.362347,8882.471304,7698.141797
1887.919842,536.266849,8216.285956,8068.244768
1887.920159,-766.095498,7031.956449,8290.306550
1887.920477,-2528.115143,5699.585753,9918.759623
1887.920794,-4366.744339,4219.173869,11843.295072
1887.921111,-5286.058936,4293.194464,12583.501014
1887.921429,-5975.544884,4367.215058,13175.665768
1887.921746,-6052.154434,4959.379811,13545.768739
1887.922063,-5439.278036,5107.421000,13841.851115
1887.922381,-4979.620737,5773.606348,13693.809927
1887.922698,-3524.039291,6513.812290,13249.686362
1887.923016,-2528.115143,6735.874072,12953.603985
1887.923333,-1762.019645,6735.874072,13249.686362
1887.923650,-459.657299,6439.791695,13175.665768
1887.923968,612.876398,6735.874072,12065.356855
1887.924285,1838.629195,6661.853478,11695.253884
1887.924602,2987.772442,6513.812290,10881.027347
1887.924920,4136.915689,6069.688724,10140.821405
1887.925237,4826.401637,5329.482782,9992.780217
1887.925554,4903.011187,4515.256246,9548.656652
1887.925872,4826.401637,3552.988522,9252.574275
1887.926189,4060.306139,2442.679609,8882.471304
1887.926507,3217.601092,1554.432478,9770.718434
1887.926824,2145.067394,-0.000000,10214.842000
1887.927141,1532.190996,-814.226536,11621.233289
1887.927459,1302.362347,-1036.288319,12139.377449
1887.927776,1149.143247,-1184.329507,12287.418637
1887.928093,1225.752797,-1406.391290,12065.356855
1887.928411,1532.190996,-1776.494261,11473.192101
1887.928728,1838.629195,-2664.741391,10732.986159
1887.929045,2451.505594,-2738.761985,10288.862594
1887.929363,2681.334243,-3034.844362,9992.780217
1887.929680,3447.429741,-3478.967927,9844.739029
1887.929997,3370.820191,-3849.070898,9622.677246
1887.930315,2757.943793,-4071.132681,9844.739029
1887.930632,2528.115143,-3923.091493,10214.842000
1887.930949,2145.067394,-4367.215058,9474.636058
1887.931267,1762.019645,-5181.441594,9252.574275
1887.931584,2221.676944,-5181.441594,8734.430116
1887.931901,2068.457845,-4811.338623,8216.285956
1887.932218,2681.334243,-5181.441594,7031.956449
1887.932536,2298.286494,-5551.544565,6587.832884
1887.932853,2221.676944,-6735.874072,7031.956449
1887.933170,766.095498,-6883.915261,7550.100608
1887.933488,76.609550,-7031.956449,8068.244768
1887.933805,-306.438199,-6883.915261,8216.285956
1887.934122,-306.438199,-5847.626942,8216.285956
1887.934440,459.657299,-4737.318029,7476.080014
1887.934757,1225.752797,-3108.864956,6439.791695
1887.935074,1532.190996,-2220.617826,5847.626942
1887.935391,1608.800546,-2072.576638,5477.523971
1887.935709,842.705048,-2516.700203,5329.482782
1887.936026,459.657299,-3330.926739,6069.688724
1887.936343,0.000000,-3034.844362,6513.812290
1887.936661,383.047749,-2368.659014,6069.688724
1887.936978,383.047749,-1184.329507,5403.503377
1887.937295,1225.752797,-444.123565,5403.503377
1887.937613,1762.019645,-0.000000,4811.338623
1887.937930,1685.410096,370.102971,4441.235652
1887.938247,1149.143247,592.164754,4367.215058
1887.938565,383.047749,296.082377,4885.359217
1887.938882,0.000000,296.082377,5921.647536
1887.939199,0.000000,962.267725,6291.750507
1887.939516,0.000000,1924.535449,7179.997637
1887.939834,153.219100,3256.906145,7402.059420
1887.940151,0.000000,3627.009116,7994.224174
1887.940468,-76.609550,4293.194464,8586.388927
1887.940786,-459.657299,4219.173869,8734.430116
1887.941103,-766.095498,4515.256246,9178.553681
1887.941420,-995.924147,4293.194464,9326.594869
1887.941738,-995.924147,4515.256246,9548.656652
1887.942055,-1072.533697,4959.379811,9844.739029
1887.942372,-536.266849,5329.482782,10288.862594
1887.942690,-1072.533697,5329.482782,11103.089130
1887.943007,-689.485948,4737.318029,11769.274478
1887.943324,-1532.190996,4293.194464,11991.336260
1887.943641,-1915.238745,3997.112087,12805.562797
1887.943959,-2298.286494,4071.132681,13175.665768
1887.944276,-2068.457845,3034.844362,13027.624579
1887.944593,-1685.410096,3182.885551,12731.542202
1887.944911,-995.924147,3923.091493,13027.624579
1887.945228,-689.485948,4293.194464,12879.583391
1887.945545,0.000000,4589.276840,13249.686362
1887.945863,0.000000,4737.318029,12879.583391
1887.946180,-536.266849,4293.194464,13323.706956
1887.946497,-689.485948,3997.112087,13397.727550
1887.946815,-383.047749,3997.112087,12879.583391
1887.947132,0.000000,3997.112087,12657.521608
1887.947449,612.876398,3701.029710,12879.583391
1887.947766,1149.143247,2738.761985,13027.624579
1887.948084,1225.752797,2960.823768,12879.583391
1887.948401,1072.533697,3108.864956,13101.645173
1887.948718,536.266849,3034.844362,13471.748144
1887.949036,153.219100,2442.679609,13101.645173
1887.949353,-229.828649,2146.597232,12583.501014
1887.949670,76.609550,2220.617826,12139.377449
1887.949988,766.095498,2146.597232,11917.315666
1887.950305,1149.143247,1332.370696,11695.253884
1887.950622,1685.410096,1184.329507,11695.253884
1887.950940,842.705048,592.164754,11399.171507
1887.951257,1149.143247,222.061783,10510.924376
1887.951574,1225.752797,-222.061783,10510.924376
1887.951891,1532.190996,-148.041188,10066.800811
1887.952209,2221.676944,-74.020594,9474.636058
1887.952526,2451.505594,-1036.288319,9178.553681
1887.952843,3140.991542,-1332.370696,8660.409521
1887.953161,3294.210641,-2072.576638,8068.244768
1887.953478,3447.429741,-2516.700203,7624.121203
1887.953795,3830.477490,-3404.947333,7994.224174
1887.954113,2451.505594,-4441.235652,7624.121203
1887.954430,2298.286494,-4811.338623,7476.080014
1887.954747,2298.286494,-4441.235652,7402.059420
1887.955065,2374.896044,-4219.173869,7254.018232
1887.955382,2145.067394,-4145.153275,6883.915261
1887.955699,2451.505594,-4441.235652,6957.935855
1887.956016,2298.286494,-4441.235652,6883.915261
1887.956334,1762.019645,-4663.297435,6735.874072
1887.956651,1302.362347,-4737.318029,6365.771101
1887.956968,1378.971896,-4885.359217,6217.729913
1887.957286,1685.410096,-4071.132681,5995.668130
1887.957603,2068.457845,-3330.926739,5699.585753
1887.957920,2068.457845,-2590.720797,5625.565159
1887.958238,2221.676944,-2590.720797,5551.544565
1887.958555,1685.410096,-3182.885551,5477.523971
1887.958872,1378.971896,-3330.926739,5847.626942
1887.959190,612.876398,-3552.988522,6069.688724
1887.959507,153.219100,-3552.988522,5921.647536
1887.959824,229.828649,-2812.782580,6217.729913
1887.960141,229.828649,-2442.679609,6661.853478
1887.960459,76.609550,-2146.597232,6883.915261
