#time,accel_x,accel_y,accel_z
1935.611650,229.828649,3997.112087,14656.077652
1935.611967,306.438199,3849.070898,13693.809927
1935.612284,1149.143247,3108.864956,13397.727550
1935.612601,2374.896044,2368.659014,13545.768739
1935.612918,2681.334243,1332.370696,12805.562797
1935.613235,2298.286494,1184.329507,12361.439231
1935.613552,1685.410096,814.226536,12361.439231
1935.613870,766.095498,814.226536,12805.562797
1935.614187,0.000000,592.164754,11991.336260
1935.614504,-766.095498,1628.453072,12287.418637
1935.614821,-1225.752797,1702.473667,12213.398043
1935.615138,-1149.143247,1258.350101,11843.295072
1935.615455,-689.485948,740.205942,11103.089130
1935.615772,0.000000,-222.061783,10658.965565
1935.616089,153.219100,-1110.308913,10510.924376
1935.616406,306.438199,-1628.453072,9992.780217
1935.616723,153.219100,-1702.473667,9474.636058
1935.617041,0.000000,-1036.288319,9030.512492
1935.617358,-689.485948,-148.041188,9104.533087
1935.617675,-1532.190996,74.020594,9474.636058
1935.617992,-1608.800546,222.061783,9104.533087
1935.618309,-2298.286494,-0.000000,8068.244768
1935.618626,-1991.848295,-518.144159,8216.285956
1935.618943,-1991.848295,-888.247130,7328.038826
1935.619260,-919.314598,-1110.308913,6735.874072
1935.619577,153.219100,-1184.329507,6513.812290
1935.619895,536.266849,-1110.308913,6143.709319
1935.620212,842.705048,-1036.288319,5699.585753
1935.620529,1225.752797,-444.123565,5773.606348
1935.620846,995.924147,-296.082377,5773.606348
1935.621163,766.095498,-666.185348,6143.709319
1935.621480,383.047749,-1110.308913,6291.750507
1935.621797,842.705048,-1776.494261,6513.812290
1935.622114,1302.362347,-1998.556043,6883.915261
1935.622431,1685.410096,-1998.556043,5921.647536
1935.622748,1685.410096,-1702.473667,5699.585753
1935.623066,1532.190996,-1776.494261,5847.626942
1935.623383,919.314598,-1554.432478,6217.729913
1935.623700,0.000000,-1258.350101,6661.853478
1935.624017,-1915.238745,-1184.329507,7254.018232
1935.624334,-2451.505594,-1332.370696,8068.244768
1935.624651,-3524.039291,-888.247130,8290.306550
1935.624968,-4060.306139,-1184.329507,8586.388927
1935.625285,-4443.353888,-1036.288319,9178.553681
1935.625602,-4366.744339,-1036.288319,9104.533087
1935.625919,-4366.744339,-518.144159,9178.553681
1935.626237,-4366.744339,222.061783,9474.636058
1935.626554,-4366.744339,666.185348,9400.615463
1935.626871,-4673.182538,1924.535449,9178.553681
1935.627188,-4443.353888,2516.700203,8438.347739
1935.627505,-4826.401637,3404.947333,8660.409521
1935.627822,-4903.011187,3404.947333,8660.409521
1935.628139,-5362.668486,4219.173869,8956.491898
1935.628456,-5592.497135,4219.173869,9252.574275
1935.628773,-5745.716235,4071.132681,9770.718434
1935.629090,-5592.497135,4293.194464,9770.718434
1935.629408,-4826.401637,5033.400406,9696.697840
1935.629725,-4290.134789,5921.647536,9326.594869
1935.630042,-3140.991542,6957.935855,9030.512492
1935.630359,-2298.286494,7846.182985,8438.347739
1935.630676,-1608.800546,8512.368333,8734.430116
1935.630993,-1532.190996,7994.224174,9326.594869
1935.631310,-1455.581446,7772.162391,10066.800811
1935.631627,-153.219100,7179.997637,11103.089130
1935.631944,919.314598,7105.977043,11325.150913
1935.632262,2298.286494,7179.997637,11029.068536
1935.632579,2451.505594,8290.306550,9474.636058
1935.632896,3830.477490,7772.162391,8956.491898
1935.633213,4290.134789,8882.471304,8512.368333
1935.633530,5362.668486,8808.450710,7846.182985
1935.633847,4366.744339,8290.306550,6143.709319
1935.634164,2528.115143,7254.018232,7476.080014
1935.634481,-153.219100,6143.709319,8882.471304
1935.634798,-3677.258390,3997.112087,10510.924376
1935.635115,-6435.202183,2516.700203,12657.521608
1935.635433,-8963.317327,2220.617826,13767.830521
1935.635750,-9346.365076,3478.967927,14063.912898
1935.636067,-9116.536426,3997.112087,14656.077652
1935.636384,-8503.660028,3478.967927,14656.077652
1935.636701,-8427.050478,3997.112087,13545.768739
1935.637018,-8044.002729,4071.132681,12731.542202
1935.637335,-7814.174080,3997.112087,13027.624579
1935.637652,-7201.297681,2886.803174,14359.995275
1935.637969,-6971.469032,3034.844362,14285.974681
1935.638286,-5209.449386,4959.379811,13249.686362
1935.638604,-4443.353888,6439.791695,12213.398043
1935.638921,-2528.115143,7402.059420,10732.986159
