#time,accel_x,accel_y,accel_z
1642.011205,842.705048,222.061783,9400.615463
1642.011523,1072.533697,518.144159,9474.636058
1642.011840,536.266849,-0.000000,9326.594869
1642.012157,689.485948,74.020594,9400.615463
1642.012475,842.705048,444.123565,9326.594869
1642.012792,842.705048,296.082377,9400.615463
1642.013109,766.095498,222.061783,9548.656652
1642.013427,842.705048,148.041188,9474.636058
1642.013744,842.705048,-0.000000,9474.636058
1642.014061,689.485948,296.082377,9400.615463
1642.014379,842.705048,370.102971,9474.636058
1642.014696,842.705048,370.102971,9548.656652
1642.015013,766.095498,-0.000000,9474.636058
1642.015331,842.705048,370.102971,9474.636058
1642.015648,612.876398,222.061783,9474.636058
1642.015966,689.485948,222.061783,9474.636058
1642.016283,1072.533697,148.041188,9474.636058
1642.016600,842.705048,-0.000000,9252.574275
1642.016918,612.876398,296.082377,9400.615463
1642.017235,459.657299,148.041188,9400.615463
1642.017552,766.095498,370.102971,9400.615463
1642.017870,842.705048,-0.000000,9400.615463
1642.018187,612.876398,-0.000000,9474.636058
1642.018504,766.095498,148.041188,9400.615463
1642.018822,612.876398,370.102971,9474.636058
1642.019139,766.095498,-0.000000,9326.594869
1642.019457,995.924147,370.102971,9548.656652
1642.019774,536.266849,222.061783,9474.636058
1642.020091,689.485948,-0.000000,9474.636058
1642.020409,842.705048,222.061783,9474.636058
1642.020726,459.657299,148.041188,9474.636058
1642.021043,766.095498,148.041188,9252.574275
1642.021361,842.705048,296.082377,9252.574275
1642.021678,689.485948,370.102971,9474.636058
1642.021995,766.095498,370.102971,9474.636058
1642.022313,689.485948,222.061783,9474.636058
1642.022630,919.314598,-74.020594,9918.759623
1642.022947,842.705048,222.061783,9474.636058
1642.023265,689.485948,370.102971,9474.636058
1642.023582,689.485948,370.102971,9474.636058
1642.023900,919.314598,148.041188,9474.636058
1642.024217,766.095498,518.144159,9548.656652
1642.024534,689.485948,222.061783,9474.636058
1642.024852,689.485948,444.123565,9622.677246
1642.025169,995.924147,222.061783,9474.636058
1642.025486,689.485948,370.102971,9474.636058
1642.025804,919.314598,222.061783,9400.615463
1642.026121,766.095498,222.061783,9326.594869
1642.026438,689.485948,370.102971,9400.615463
1642.026756,383.047749,222.061783,9252.574275
1642.027073,536.266849,222.061783,9104.533087
